cardholder_id,month,mcc_category,spend_amount
56,2024-01-01,Dining & restaurants,246.23
57,2024-01-01,Dining & restaurants,945.96
58,2024-01-01,Dining & restaurants,533.22
59,2024-01-01,Dining & restaurants,321.5
60,2024-01-01,Dining & restaurants,478.69
61,2024-01-01,Dining & restaurants,211.54
62,2024-01-01,Dining & restaurants,469.73
63,2024-01-01,Dining & restaurants,224.75
64,2024-01-01,Dining & restaurants,375.47
65,2024-01-01,Dining & restaurants,325.77
66,2024-01-01,Dining & restaurants,110.94
67,2024-01-01,Dining & restaurants,928.08
68,2024-01-01,Dining & restaurants,158.15
69,2024-01-01,Dining & restaurants,1179.94
70,2024-01-01,Dining & restaurants,143.81
71,2024-01-01,Dining & restaurants,134.39
72,2024-01-01,Dining & restaurants,182.17
73,2024-01-01,Dining & restaurants,491.81
74,2024-01-01,Dining & restaurants,180.98
75,2024-01-01,Dining & restaurants,124.34
76,2024-01-01,Dining & restaurants,147.81
77,2024-01-01,Dining & restaurants,590.22
78,2024-01-01,Dining & restaurants,1189.54
79,2024-01-01,Dining & restaurants,219.37
80,2024-01-01,Dining & restaurants,250.86
81,2024-01-01,Dining & restaurants,361.97
82,2024-01-01,Dining & restaurants,143.27
83,2024-01-01,Dining & restaurants,54.04
84,2024-01-01,Dining & restaurants,2131.73
85,2024-01-01,Dining & restaurants,165.79
86,2024-01-01,Dining & restaurants,216.7
87,2024-01-01,Dining & restaurants,118.9
88,2024-01-01,Dining & restaurants,121.44
89,2024-01-01,Dining & restaurants,57.11
90,2024-01-01,Dining & restaurants,162.14
91,2024-01-01,Dining & restaurants,447.69
92,2024-01-01,Dining & restaurants,220.97
93,2024-01-01,Dining & restaurants,154.43
94,2024-01-01,Dining & restaurants,124.28
95,2024-01-01,Dining & restaurants,248.04
96,2024-01-01,Dining & restaurants,170.31
97,2024-01-01,Dining & restaurants,177.1
98,2024-01-01,Dining & restaurants,99.56
99,2024-01-01,Dining & restaurants,1577.14
100,2024-01-01,Dining & restaurants,430.67
101,2024-01-01,Dining & restaurants,575.48
102,2024-01-01,Dining & restaurants,124.44
103,2024-01-01,Dining & restaurants,78.82
104,2024-01-01,Dining & restaurants,176.17
105,2024-01-01,Dining & restaurants,74.16
106,2024-01-01,Dining & restaurants,488.85
107,2024-01-01,Dining & restaurants,348.97
108,2024-01-01,Dining & restaurants,113.19
109,2024-01-01,Dining & restaurants,99.28
110,2024-01-01,Dining & restaurants,244.36
111,2024-01-01,Dining & restaurants,126.02
112,2024-01-01,Dining & restaurants,304.67
113,2024-01-01,Dining & restaurants,84.92
114,2024-01-01,Dining & restaurants,562.95
115,2024-01-01,Dining & restaurants,171.59
116,2024-01-01,Dining & restaurants,605.02
117,2024-01-01,Dining & restaurants,95.0
118,2024-01-01,Dining & restaurants,547.32
119,2024-01-01,Dining & restaurants,167.8
120,2024-01-01,Dining & restaurants,58.65
121,2024-01-01,Dining & restaurants,293.17
122,2024-01-01,Dining & restaurants,180.67
123,2024-01-01,Dining & restaurants,772.65
124,2024-01-01,Dining & restaurants,847.49
125,2024-01-01,Dining & restaurants,221.34
126,2024-01-01,Dining & restaurants,238.01
127,2024-01-01,Dining & restaurants,78.62
128,2024-01-01,Dining & restaurants,127.26
129,2024-01-01,Dining & restaurants,2329.34
130,2024-01-01,Dining & restaurants,110.17
131,2024-01-01,Dining & restaurants,262.65
132,2024-01-01,Dining & restaurants,646.37
133,2024-01-01,Dining & restaurants,1118.81
134,2024-01-01,Dining & restaurants,237.82
135,2024-01-01,Dining & restaurants,133.89
136,2024-01-01,Dining & restaurants,309.53
137,2024-01-01,Dining & restaurants,408.63
138,2024-01-01,Dining & restaurants,81.26
139,2024-01-01,Dining & restaurants,324.25
140,2024-01-01,Dining & restaurants,238.76
141,2024-01-01,Dining & restaurants,49.58
142,2024-01-01,Dining & restaurants,492.58
143,2024-01-01,Dining & restaurants,77.61
144,2024-01-01,Dining & restaurants,714.74
145,2024-01-01,Dining & restaurants,391.1
146,2024-01-01,Dining & restaurants,427.95
147,2024-01-01,Dining & restaurants,222.14
148,2024-01-01,Dining & restaurants,314.9
149,2024-01-01,Dining & restaurants,474.26
150,2024-01-01,Dining & restaurants,162.66
151,2024-01-01,Dining & restaurants,170.39
152,2024-01-01,Dining & restaurants,1318.18
153,2024-01-01,Dining & restaurants,764.74
154,2024-01-01,Dining & restaurants,113.62
155,2024-01-01,Dining & restaurants,144.46
156,2024-01-01,Dining & restaurants,353.26
157,2024-01-01,Dining & restaurants,112.41
158,2024-01-01,Dining & restaurants,109.53
159,2024-01-01,Dining & restaurants,138.3
160,2024-01-01,Dining & restaurants,210.55
161,2024-01-01,Dining & restaurants,175.28
162,2024-01-01,Dining & restaurants,201.35
163,2024-01-01,Dining & restaurants,70.06
164,2024-01-01,Dining & restaurants,239.22
165,2024-01-01,Dining & restaurants,374.25
166,2024-01-01,Dining & restaurants,318.74
167,2024-01-01,Dining & restaurants,384.11
168,2024-01-01,Dining & restaurants,608.87
169,2024-01-01,Dining & restaurants,554.67
170,2024-01-01,Dining & restaurants,117.94
171,2024-01-01,Dining & restaurants,178.69
172,2024-01-01,Dining & restaurants,274.88
173,2024-01-01,Dining & restaurants,447.35
174,2024-01-01,Dining & restaurants,461.23
175,2024-01-01,Dining & restaurants,172.04
176,2024-01-01,Dining & restaurants,728.7
177,2024-01-01,Dining & restaurants,260.75
178,2024-01-01,Dining & restaurants,134.66
179,2024-01-01,Dining & restaurants,184.35
180,2024-01-01,Dining & restaurants,210.1
181,2024-01-01,Dining & restaurants,1207.09
182,2024-01-01,Dining & restaurants,1879.95
183,2024-01-01,Dining & restaurants,199.67
184,2024-01-01,Dining & restaurants,79.06
185,2024-01-01,Dining & restaurants,409.45
186,2024-01-01,Dining & restaurants,353.76
187,2024-01-01,Dining & restaurants,138.58
188,2024-01-01,Dining & restaurants,138.47
189,2024-01-01,Dining & restaurants,204.83
190,2024-01-01,Dining & restaurants,230.86
191,2024-01-01,Dining & restaurants,746.65
192,2024-01-01,Dining & restaurants,88.61
193,2024-01-01,Dining & restaurants,92.39
194,2024-01-01,Dining & restaurants,373.37
195,2024-01-01,Dining & restaurants,416.27
196,2024-01-01,Dining & restaurants,160.21
197,2024-01-01,Dining & restaurants,88.98
198,2024-01-01,Dining & restaurants,90.51
199,2024-01-01,Dining & restaurants,440.9
200,2024-01-01,Dining & restaurants,94.82
201,2024-01-01,Dining & restaurants,176.54
202,2024-01-01,Dining & restaurants,394.0
203,2024-01-01,Dining & restaurants,289.79
204,2024-01-01,Dining & restaurants,49.49
205,2024-01-01,Dining & restaurants,163.05
206,2024-01-01,Dining & restaurants,1278.99
207,2024-01-01,Dining & restaurants,555.94
208,2024-01-01,Dining & restaurants,293.79
209,2024-01-01,Dining & restaurants,572.81
210,2024-01-01,Dining & restaurants,356.55
211,2024-01-01,Dining & restaurants,191.62
212,2024-01-01,Dining & restaurants,146.29
213,2024-01-01,Dining & restaurants,160.18
214,2024-01-01,Dining & restaurants,450.04
215,2024-01-01,Dining & restaurants,97.76
216,2024-01-01,Dining & restaurants,145.98
217,2024-01-01,Dining & restaurants,254.74
218,2024-01-01,Dining & restaurants,197.07
219,2024-01-01,Dining & restaurants,250.33
220,2024-01-01,Dining & restaurants,101.38
221,2024-01-01,Dining & restaurants,115.5
222,2024-01-01,Dining & restaurants,106.72
223,2024-01-01,Dining & restaurants,599.46
224,2024-01-01,Dining & restaurants,154.18
225,2024-01-01,Dining & restaurants,143.47
226,2024-01-01,Dining & restaurants,604.54
227,2024-01-01,Dining & restaurants,60.88
228,2024-01-01,Dining & restaurants,204.97
229,2024-01-01,Dining & restaurants,254.98
230,2024-01-01,Dining & restaurants,79.55
231,2024-01-01,Dining & restaurants,92.89
232,2024-01-01,Dining & restaurants,102.29
233,2024-01-01,Dining & restaurants,377.26
234,2024-01-01,Dining & restaurants,192.74
235,2024-01-01,Dining & restaurants,160.42
236,2024-01-01,Dining & restaurants,392.71
237,2024-01-01,Dining & restaurants,499.43
238,2024-01-01,Dining & restaurants,415.24
239,2024-01-01,Dining & restaurants,82.85
240,2024-01-01,Dining & restaurants,534.74
241,2024-01-01,Dining & restaurants,171.73
242,2024-01-01,Dining & restaurants,41.59
243,2024-01-01,Dining & restaurants,40.91
244,2024-01-01,Dining & restaurants,289.46
245,2024-01-01,Dining & restaurants,810.62
246,2024-01-01,Dining & restaurants,116.44
247,2024-01-01,Dining & restaurants,381.35
248,2024-01-01,Dining & restaurants,261.23
249,2024-01-01,Dining & restaurants,88.91
250,2024-01-01,Dining & restaurants,212.05
251,2024-01-01,Dining & restaurants,312.48
252,2024-01-01,Dining & restaurants,376.96
253,2024-01-01,Dining & restaurants,296.19
254,2024-01-01,Dining & restaurants,369.61
255,2024-01-01,Dining & restaurants,121.68
256,2024-01-01,Dining & restaurants,95.88
257,2024-01-01,Dining & restaurants,189.26
258,2024-01-01,Dining & restaurants,128.09
259,2024-01-01,Dining & restaurants,78.17
260,2024-01-01,Dining & restaurants,1572.7
261,2024-01-01,Dining & restaurants,97.28
262,2024-01-01,Dining & restaurants,186.76
263,2024-01-01,Dining & restaurants,540.97
264,2024-01-01,Dining & restaurants,239.79
265,2024-01-01,Dining & restaurants,246.15
266,2024-01-01,Dining & restaurants,792.37
267,2024-01-01,Dining & restaurants,93.65
268,2024-01-01,Dining & restaurants,567.81
269,2024-01-01,Dining & restaurants,598.2
270,2024-01-01,Dining & restaurants,541.25
271,2024-01-01,Dining & restaurants,101.68
272,2024-01-01,Dining & restaurants,352.71
273,2024-01-01,Dining & restaurants,231.57
274,2024-01-01,Dining & restaurants,66.19
275,2024-01-01,Dining & restaurants,175.62
276,2024-01-01,Dining & restaurants,220.21
277,2024-01-01,Dining & restaurants,354.23
278,2024-01-01,Dining & restaurants,459.89
279,2024-01-01,Dining & restaurants,243.99
280,2024-01-01,Dining & restaurants,532.84
281,2024-01-01,Dining & restaurants,408.31
282,2024-01-01,Dining & restaurants,142.92
283,2024-01-01,Dining & restaurants,1191.51
284,2024-01-01,Dining & restaurants,1434.96
285,2024-01-01,Dining & restaurants,73.3
286,2024-01-01,Dining & restaurants,448.54
287,2024-01-01,Dining & restaurants,209.15
288,2024-01-01,Dining & restaurants,140.7
289,2024-01-01,Dining & restaurants,216.36
290,2024-01-01,Dining & restaurants,347.26
291,2024-01-01,Dining & restaurants,239.91
292,2024-01-01,Dining & restaurants,764.95
293,2024-01-01,Dining & restaurants,545.33
294,2024-01-01,Dining & restaurants,610.46
295,2024-01-01,Dining & restaurants,282.83
296,2024-01-01,Dining & restaurants,235.9
297,2024-01-01,Dining & restaurants,422.32
298,2024-01-01,Dining & restaurants,320.1
299,2024-01-01,Dining & restaurants,116.61
300,2024-01-01,Dining & restaurants,468.8
301,2024-01-01,Dining & restaurants,2012.27
302,2024-01-01,Dining & restaurants,119.16
303,2024-01-01,Dining & restaurants,204.75
304,2024-01-01,Dining & restaurants,127.48
305,2024-01-01,Dining & restaurants,86.36
306,2024-01-01,Dining & restaurants,53.8
307,2024-01-01,Dining & restaurants,261.96
308,2024-01-01,Dining & restaurants,157.95
309,2024-01-01,Dining & restaurants,124.11
310,2024-01-01,Dining & restaurants,338.89
311,2024-01-01,Dining & restaurants,1705.79
312,2024-01-01,Dining & restaurants,831.8
313,2024-01-01,Dining & restaurants,379.0
314,2024-01-01,Dining & restaurants,53.59
315,2024-01-01,Dining & restaurants,286.15
316,2024-01-01,Dining & restaurants,276.47
317,2024-01-01,Dining & restaurants,233.18
318,2024-01-01,Dining & restaurants,272.78
319,2024-01-01,Dining & restaurants,1151.92
320,2024-01-01,Dining & restaurants,297.47
321,2024-01-01,Dining & restaurants,68.04
322,2024-01-01,Dining & restaurants,288.28
323,2024-01-01,Dining & restaurants,312.3
324,2024-01-01,Dining & restaurants,2367.05
325,2024-01-01,Dining & restaurants,133.91
326,2024-01-01,Dining & restaurants,134.23
327,2024-01-01,Dining & restaurants,118.11
328,2024-01-01,Dining & restaurants,159.66
329,2024-01-01,Dining & restaurants,185.95
330,2024-01-01,Dining & restaurants,257.27
331,2024-01-01,Dining & restaurants,261.07
332,2024-01-01,Dining & restaurants,113.72
333,2024-01-01,Dining & restaurants,742.5
334,2024-01-01,Dining & restaurants,829.58
335,2024-01-01,Dining & restaurants,653.34
336,2024-01-01,Dining & restaurants,532.16
337,2024-01-01,Dining & restaurants,223.32
338,2024-01-01,Dining & restaurants,199.03
339,2024-01-01,Dining & restaurants,98.18
340,2024-01-01,Dining & restaurants,1036.34
341,2024-01-01,Dining & restaurants,135.64
342,2024-01-01,Dining & restaurants,82.66
343,2024-01-01,Dining & restaurants,188.25
344,2024-01-01,Dining & restaurants,460.29
345,2024-01-01,Dining & restaurants,254.55
346,2024-01-01,Dining & restaurants,169.68
347,2024-01-01,Dining & restaurants,74.38
348,2024-01-01,Dining & restaurants,468.72
349,2024-01-01,Dining & restaurants,1002.09
350,2024-01-01,Dining & restaurants,103.97
351,2024-01-01,Dining & restaurants,456.8
352,2024-01-01,Dining & restaurants,219.23
353,2024-01-01,Dining & restaurants,121.94
354,2024-01-01,Dining & restaurants,2200.1
355,2024-01-01,Dining & restaurants,1606.1
356,2024-01-01,Dining & restaurants,47.37
357,2024-01-01,Dining & restaurants,593.77
358,2024-01-01,Dining & restaurants,58.54
359,2024-01-01,Dining & restaurants,73.47
360,2024-01-01,Dining & restaurants,93.65
361,2024-01-01,Dining & restaurants,836.03
362,2024-01-01,Dining & restaurants,89.28
363,2024-01-01,Dining & restaurants,152.04
364,2024-01-01,Dining & restaurants,97.36
365,2024-01-01,Dining & restaurants,60.54
366,2024-01-01,Dining & restaurants,176.53
367,2024-01-01,Dining & restaurants,165.56
368,2024-01-01,Dining & restaurants,35.6
369,2024-01-01,Dining & restaurants,416.52
370,2024-01-01,Dining & restaurants,603.7
371,2024-01-01,Dining & restaurants,1182.01
372,2024-01-01,Dining & restaurants,1315.22
373,2024-01-01,Dining & restaurants,896.35
374,2024-01-01,Dining & restaurants,185.38
375,2024-01-01,Dining & restaurants,687.38
376,2024-01-01,Dining & restaurants,301.05
377,2024-01-01,Dining & restaurants,544.95
378,2024-01-01,Dining & restaurants,294.3
379,2024-01-01,Dining & restaurants,218.93
380,2024-01-01,Dining & restaurants,603.16
381,2024-01-01,Dining & restaurants,587.08
382,2024-01-01,Dining & restaurants,149.02
383,2024-01-01,Dining & restaurants,551.54
384,2024-01-01,Dining & restaurants,105.09
385,2024-01-01,Dining & restaurants,226.13
386,2024-01-01,Dining & restaurants,312.42
387,2024-01-01,Dining & restaurants,627.56
388,2024-01-01,Dining & restaurants,1586.23
389,2024-01-01,Dining & restaurants,909.53
390,2024-01-01,Dining & restaurants,196.48
391,2024-01-01,Dining & restaurants,63.29
392,2024-01-01,Dining & restaurants,62.68
393,2024-01-01,Dining & restaurants,356.02
394,2024-01-01,Dining & restaurants,138.94
395,2024-01-01,Dining & restaurants,444.9
396,2024-01-01,Dining & restaurants,116.27
397,2024-01-01,Dining & restaurants,168.67
398,2024-01-01,Dining & restaurants,389.09
399,2024-01-01,Dining & restaurants,342.16
400,2024-01-01,Dining & restaurants,562.52
401,2024-01-01,Dining & restaurants,1311.89
402,2024-01-01,Dining & restaurants,71.53
403,2024-01-01,Dining & restaurants,445.98
404,2024-01-01,Dining & restaurants,278.52
405,2024-01-01,Dining & restaurants,869.43
406,2024-01-01,Dining & restaurants,347.74
407,2024-01-01,Dining & restaurants,310.25
408,2024-01-01,Dining & restaurants,421.91
409,2024-01-01,Dining & restaurants,46.9
410,2024-01-01,Dining & restaurants,172.51
411,2024-01-01,Dining & restaurants,289.95
412,2024-01-01,Dining & restaurants,76.34
413,2024-01-01,Dining & restaurants,173.45
414,2024-01-01,Dining & restaurants,104.74
415,2024-01-01,Dining & restaurants,94.58
416,2024-01-01,Dining & restaurants,366.62
417,2024-01-01,Dining & restaurants,557.08
418,2024-01-01,Dining & restaurants,682.39
419,2024-01-01,Dining & restaurants,389.64
420,2024-01-01,Dining & restaurants,110.67
421,2024-01-01,Dining & restaurants,181.85
422,2024-01-01,Dining & restaurants,185.6
423,2024-01-01,Dining & restaurants,979.48
424,2024-01-01,Dining & restaurants,51.91
425,2024-01-01,Dining & restaurants,591.98
426,2024-01-01,Dining & restaurants,510.86
427,2024-01-01,Dining & restaurants,138.63
428,2024-01-01,Dining & restaurants,96.29
429,2024-01-01,Dining & restaurants,292.86
430,2024-01-01,Dining & restaurants,610.39
431,2024-01-01,Dining & restaurants,205.73
432,2024-01-01,Dining & restaurants,221.32
433,2024-01-01,Dining & restaurants,320.27
434,2024-01-01,Dining & restaurants,817.11
435,2024-01-01,Dining & restaurants,810.94
436,2024-01-01,Dining & restaurants,172.21
437,2024-01-01,Dining & restaurants,500.71
438,2024-01-01,Dining & restaurants,92.73
439,2024-01-01,Dining & restaurants,228.64
440,2024-01-01,Dining & restaurants,472.14
441,2024-01-01,Dining & restaurants,285.03
442,2024-01-01,Dining & restaurants,52.04
443,2024-01-01,Dining & restaurants,369.45
444,2024-01-01,Dining & restaurants,381.93
445,2024-01-01,Dining & restaurants,234.25
446,2024-01-01,Dining & restaurants,58.99
447,2024-01-01,Dining & restaurants,120.08
448,2024-01-01,Dining & restaurants,337.27
449,2024-01-01,Dining & restaurants,236.55
450,2024-01-01,Dining & restaurants,162.67
451,2024-01-01,Dining & restaurants,522.94
452,2024-01-01,Dining & restaurants,172.58
453,2024-01-01,Dining & restaurants,197.33
454,2024-01-01,Dining & restaurants,138.96
455,2024-01-01,Dining & restaurants,1473.13
456,2024-01-01,Dining & restaurants,121.61
457,2024-01-01,Dining & restaurants,944.53
458,2024-01-01,Dining & restaurants,195.11
459,2024-01-01,Dining & restaurants,429.72
460,2024-01-01,Dining & restaurants,1326.0
461,2024-01-01,Dining & restaurants,564.89
462,2024-01-01,Dining & restaurants,137.32
463,2024-01-01,Dining & restaurants,124.88
464,2024-01-01,Dining & restaurants,67.38
465,2024-01-01,Dining & restaurants,107.55
466,2024-01-01,Dining & restaurants,584.44
467,2024-01-01,Dining & restaurants,348.74
468,2024-01-01,Dining & restaurants,513.29
469,2024-01-01,Dining & restaurants,231.24
470,2024-01-01,Dining & restaurants,47.96
471,2024-01-01,Dining & restaurants,504.98
472,2024-01-01,Dining & restaurants,91.5
473,2024-01-01,Dining & restaurants,560.95
474,2024-01-01,Dining & restaurants,240.96
475,2024-01-01,Dining & restaurants,172.46
476,2024-01-01,Dining & restaurants,84.71
477,2024-01-01,Dining & restaurants,239.76
478,2024-01-01,Dining & restaurants,169.94
479,2024-01-01,Dining & restaurants,130.62
480,2024-01-01,Dining & restaurants,122.12
481,2024-01-01,Dining & restaurants,76.4
482,2024-01-01,Dining & restaurants,292.57
483,2024-01-01,Dining & restaurants,383.97
484,2024-01-01,Dining & restaurants,106.66
485,2024-01-01,Dining & restaurants,120.7
486,2024-01-01,Dining & restaurants,79.07
487,2024-01-01,Dining & restaurants,478.13
488,2024-01-01,Dining & restaurants,216.82
489,2024-01-01,Dining & restaurants,172.16
490,2024-01-01,Dining & restaurants,230.92
491,2024-01-01,Dining & restaurants,180.69
492,2024-01-01,Dining & restaurants,142.65
493,2024-01-01,Dining & restaurants,584.28
494,2024-01-01,Dining & restaurants,580.03
495,2024-01-01,Dining & restaurants,162.38
496,2024-01-01,Dining & restaurants,233.55
497,2024-01-01,Dining & restaurants,208.11
498,2024-01-01,Dining & restaurants,784.19
499,2024-01-01,Dining & restaurants,122.92
500,2024-01-01,Dining & restaurants,212.29
501,2024-01-01,Dining & restaurants,146.26
502,2024-01-01,Dining & restaurants,221.24
503,2024-01-01,Dining & restaurants,313.8
504,2024-01-01,Dining & restaurants,301.02
505,2024-01-01,Dining & restaurants,328.56
506,2024-01-01,Dining & restaurants,390.75
507,2024-01-01,Dining & restaurants,93.44
508,2024-01-01,Dining & restaurants,218.73
509,2024-01-01,Dining & restaurants,144.4
510,2024-01-01,Dining & restaurants,89.88
511,2024-01-01,Dining & restaurants,489.0
512,2024-01-01,Dining & restaurants,452.97
513,2024-01-01,Dining & restaurants,109.84
514,2024-01-01,Dining & restaurants,248.57
515,2024-01-01,Dining & restaurants,747.85
516,2024-01-01,Dining & restaurants,827.76
517,2024-01-01,Dining & restaurants,280.63
518,2024-01-01,Dining & restaurants,217.62
519,2024-01-01,Dining & restaurants,134.37
520,2024-01-01,Dining & restaurants,847.05
521,2024-01-01,Dining & restaurants,139.42
522,2024-01-01,Dining & restaurants,1143.91
523,2024-01-01,Dining & restaurants,50.49
524,2024-01-01,Dining & restaurants,166.21
525,2024-01-01,Dining & restaurants,102.03
526,2024-01-01,Dining & restaurants,154.51
527,2024-01-01,Dining & restaurants,100.95
528,2024-01-01,Dining & restaurants,409.93
529,2024-01-01,Dining & restaurants,465.24
530,2024-01-01,Dining & restaurants,437.36
531,2024-01-01,Dining & restaurants,154.14
532,2024-01-01,Dining & restaurants,111.54
533,2024-01-01,Dining & restaurants,54.54
534,2024-01-01,Dining & restaurants,169.72
535,2024-01-01,Dining & restaurants,862.89
536,2024-01-01,Dining & restaurants,285.04
537,2024-01-01,Dining & restaurants,81.7
538,2024-01-01,Dining & restaurants,379.2
539,2024-01-01,Dining & restaurants,217.29
540,2024-01-01,Dining & restaurants,392.96
541,2024-01-01,Dining & restaurants,51.52
542,2024-01-01,Dining & restaurants,142.59
543,2024-01-01,Dining & restaurants,209.24
544,2024-01-01,Dining & restaurants,305.87
545,2024-01-01,Dining & restaurants,242.84
546,2024-01-01,Dining & restaurants,613.49
547,2024-01-01,Dining & restaurants,456.21
548,2024-01-01,Dining & restaurants,138.6
549,2024-01-01,Dining & restaurants,331.03
550,2024-01-01,Dining & restaurants,635.92
551,2024-01-01,Dining & restaurants,460.79
552,2024-01-01,Dining & restaurants,109.23
553,2024-01-01,Dining & restaurants,133.24
554,2024-01-01,Dining & restaurants,55.34
555,2024-01-01,Dining & restaurants,75.63
556,2024-01-01,Dining & restaurants,109.29
557,2024-01-01,Dining & restaurants,410.12
558,2024-01-01,Dining & restaurants,241.43
559,2024-01-01,Dining & restaurants,73.71
560,2024-01-01,Dining & restaurants,202.44
561,2024-01-01,Dining & restaurants,788.06
562,2024-01-01,Dining & restaurants,239.86
563,2024-01-01,Dining & restaurants,566.91
564,2024-01-01,Dining & restaurants,701.04
565,2024-01-01,Dining & restaurants,78.13
566,2024-01-01,Dining & restaurants,410.63
567,2024-01-01,Dining & restaurants,200.02
568,2024-01-01,Dining & restaurants,615.63
569,2024-01-01,Dining & restaurants,114.58
570,2024-01-01,Dining & restaurants,355.15
571,2024-01-01,Dining & restaurants,148.58
572,2024-01-01,Dining & restaurants,156.99
573,2024-01-01,Dining & restaurants,108.27
574,2024-01-01,Dining & restaurants,131.65
575,2024-01-01,Dining & restaurants,135.19
576,2024-01-01,Dining & restaurants,160.09
577,2024-01-01,Dining & restaurants,1086.62
578,2024-01-01,Dining & restaurants,134.63
579,2024-01-01,Dining & restaurants,226.79
580,2024-01-01,Dining & restaurants,360.78
581,2024-01-01,Dining & restaurants,188.59
582,2024-01-01,Dining & restaurants,133.74
583,2024-01-01,Dining & restaurants,69.48
584,2024-01-01,Dining & restaurants,508.14
585,2024-01-01,Dining & restaurants,86.04
586,2024-01-01,Dining & restaurants,549.54
587,2024-01-01,Dining & restaurants,385.06
588,2024-01-01,Dining & restaurants,422.75
589,2024-01-01,Dining & restaurants,475.1
590,2024-01-01,Dining & restaurants,715.94
591,2024-01-01,Dining & restaurants,813.99
592,2024-01-01,Dining & restaurants,151.6
593,2024-01-01,Dining & restaurants,550.04
594,2024-01-01,Dining & restaurants,367.09
595,2024-01-01,Dining & restaurants,156.6
596,2024-01-01,Dining & restaurants,277.47
597,2024-01-01,Dining & restaurants,201.04
598,2024-01-01,Dining & restaurants,165.34
599,2024-01-01,Dining & restaurants,317.99
600,2024-01-01,Dining & restaurants,306.67
601,2024-01-01,Dining & restaurants,90.57
602,2024-01-01,Dining & restaurants,484.04
603,2024-01-01,Dining & restaurants,462.33
604,2024-01-01,Dining & restaurants,312.47
605,2024-01-01,Dining & restaurants,200.12
606,2024-01-01,Dining & restaurants,635.84
607,2024-01-01,Dining & restaurants,415.53
608,2024-01-01,Dining & restaurants,164.42
609,2024-01-01,Dining & restaurants,290.93
610,2024-01-01,Dining & restaurants,154.77
611,2024-01-01,Dining & restaurants,629.26
612,2024-01-01,Dining & restaurants,163.11
613,2024-01-01,Dining & restaurants,113.36
614,2024-01-01,Dining & restaurants,295.07
615,2024-01-01,Dining & restaurants,187.45
616,2024-01-01,Dining & restaurants,189.01
617,2024-01-01,Dining & restaurants,202.26
618,2024-01-01,Dining & restaurants,74.49
619,2024-01-01,Dining & restaurants,247.05
620,2024-01-01,Dining & restaurants,137.13
621,2024-01-01,Dining & restaurants,700.49
622,2024-01-01,Dining & restaurants,217.49
623,2024-01-01,Dining & restaurants,283.37
624,2024-01-01,Dining & restaurants,376.52
625,2024-01-01,Dining & restaurants,120.48
626,2024-01-01,Dining & restaurants,793.71
627,2024-01-01,Dining & restaurants,78.53
628,2024-01-01,Dining & restaurants,84.15
629,2024-01-01,Dining & restaurants,422.5
630,2024-01-01,Dining & restaurants,780.82
631,2024-01-01,Dining & restaurants,244.47
632,2024-01-01,Dining & restaurants,542.7
633,2024-01-01,Dining & restaurants,513.27
