cardholder_id,segment,age_band,state,credit_limit,open_date
118,Gold,55-64,Pennsylvania,17500,2021-10-10
119,Green,25-34,Colorado,16500,2019-11-28
120,Green,25-34,California,10000,2023-06-26
121,Green,45-54,Texas,16000,2023-01-24
122,Entry,18-24,Minnesota,3000,2019-08-23
123,Gold,45-54,Texas,41500,2022-12-20
124,Platinum,35-44,Massachusetts,99500,2021-03-30
125,Gold,35-44,Arizona,35000,2020-01-10
126,Gold,35-44,Ohio,39000,2019-11-27
127,Green,35-44,Texas,15500,2021-04-25
128,Green,55-64,Illinois,19500,2022-08-21
129,Platinum,65+,Arizona,82500,2019-11-15
130,Green,35-44,Nevada,18500,2021-07-26
131,Gold,45-54,Minnesota,42000,2020-02-19
132,Gold,18-24,Washington,42500,2022-02-01
133,Platinum,45-54,New York,89500,2020-12-16
134,Gold,45-54,Texas,20000,2019-03-30
135,Entry,18-24,Oregon,2500,2022-10-29
136,Gold,25-34,Massachusetts,34000,2022-03-11
137,Green,25-34,Florida,5000,2022-08-03
138,Green,25-34,Idaho,16000,2019-10-30
139,Gold,45-54,Utah,35000,2021-08-21
140,Entry,55-64,Virginia,5000,2022-10-29
141,Entry,45-54,Florida,5500,2020-07-12
142,Gold,35-44,Florida,19000,2021-10-17
143,Green,35-44,Oklahoma,9500,2022-05-12
144,Gold,35-44,Pennsylvania,35000,2020-06-22
145,Gold,45-54,Minnesota,35000,2020-06-13
146,Platinum,35-44,Oklahoma,54000,2023-03-28
147,Green,25-34,Ohio,14500,2020-04-01
148,Green,45-54,Massachusetts,18000,2023-05-23
149,Platinum,35-44,California,58000,2022-07-24
150,Gold,18-24,Massachusetts,25000,2022-10-31
151,Entry,18-24,Texas,1000,2023-12-02
152,Gold,25-34,Virginia,40000,2023-11-04
153,Platinum,35-44,California,51500,2022-11-05
154,Green,35-44,Ohio,13000,2020-09-11
155,Entry,18-24,Ohio,1000,2023-03-05
156,Gold,25-34,Ohio,25500,2023-02-04
157,Green,25-34,Tennessee,7500,2020-02-06
158,Green,65+,Tennessee,13000,2022-06-03
159,Gold,35-44,Michigan,19500,2019-01-04
160,Green,18-24,Arizona,12500,2021-02-02
161,Gold,45-54,South Carolina,40000,2023-10-18
162,Green,25-34,North Carolina,6000,2023-03-06
163,Green,35-44,Florida,17500,2021-04-28
164,Green,25-34,California,6500,2022-11-22
165,Platinum,65+,Georgia,67500,2020-05-28
166,Green,65+,New York,19000,2020-07-24
167,Gold,45-54,Illinois,29500,2020-06-13
168,Gold,45-54,California,22500,2019-09-09
169,Platinum,35-44,Arizona,86500,2023-06-07
170,Green,65+,Utah,11500,2023-07-22
171,Green,35-44,Florida,6000,2020-07-17
172,Platinum,25-34,Oregon,52500,2019-07-24
173,Green,25-34,California,8000,2019-03-20
174,Gold,25-34,Michigan,25500,2021-02-09
175,Green,35-44,California,14000,2022-04-02
176,Gold,25-34,New York,21000,2020-01-31
177,Green,45-54,Florida,19000,2023-08-07
178,Gold,35-44,Texas,24000,2023-03-21
179,Entry,55-64,Texas,3000,2019-11-30
180,Platinum,35-44,Michigan,64500,2023-11-18
181,Gold,45-54,California,23500,2019-09-10
182,Platinum,35-44,Connecticut,98500,2020-02-23
183,Entry,55-64,New Jersey,1000,2022-02-28
184,Green,18-24,Florida,17500,2023-09-01
185,Gold,18-24,Arizona,31000,2019-08-28
186,Green,45-54,Michigan,18500,2020-05-25
187,Green,45-54,Washington,15500,2023-05-15
188,Green,35-44,Arizona,5000,2022-09-07
189,Green,35-44,Alabama,13500,2021-06-01
190,Gold,25-34,Nevada,20000,2022-09-20
191,Platinum,25-34,Kentucky,96000,2021-08-12
192,Entry,55-64,Utah,3500,2023-11-08
193,Entry,25-34,Virginia,6000,2022-04-22
194,Green,45-54,Ohio,7000,2020-01-31
195,Gold,45-54,Ohio,15500,2019-04-23
196,Gold,18-24,New Jersey,44000,2022-04-24
197,Green,18-24,Louisiana,15000,2022-11-03
198,Entry,35-44,California,3500,2021-03-08
199,Green,45-54,Nevada,10500,2019-05-15
200,Green,25-34,Maryland,19500,2019-01-01
201,Green,18-24,California,8500,2022-10-16
202,Platinum,25-34,Massachusetts,88500,2022-01-30
203,Platinum,25-34,Idaho,59500,2020-07-03
204,Entry,25-34,Maryland,4000,2020-07-09
205,Green,35-44,California,10500,2023-07-16
206,Platinum,25-34,Louisiana,86000,2023-01-28
207,Platinum,45-54,Texas,61500,2023-01-08
208,Green,25-34,California,8500,2020-09-07
209,Platinum,45-54,New York,97500,2023-10-22
210,Platinum,45-54,Ohio,83000,2019-09-10
211,Green,55-64,Oregon,6500,2019-03-02
212,Green,25-34,New York,14000,2022-06-24
213,Green,25-34,Illinois,12000,2019-03-20
214,Gold,55-64,Texas,23000,2022-03-27
215,Green,55-64,New York,13000,2020-09-20
216,Gold,25-34,South Carolina,33000,2021-06-21
217,Gold,25-34,Virginia,43500,2023-06-03
218,Green,55-64,Virginia,14500,2019-05-02
219,Green,25-34,New York,18000,2022-04-23
220,Green,55-64,Texas,5500,2022-12-15
221,Green,65+,Utah,10500,2021-07-31
222,Green,25-34,Oklahoma,10000,2019-09-24
223,Platinum,55-64,California,64000,2019-04-29
224,Gold,35-44,Georgia,19500,2023-06-03
225,Gold,45-54,Pennsylvania,37000,2023-07-12
226,Gold,35-44,Colorado,30000,2020-03-14
227,Entry,18-24,New York,1000,2023-04-04
228,Gold,45-54,Arizona,37500,2023-10-13
229,Green,25-34,California,6000,2021-05-26
230,Green,55-64,Wisconsin,10500,2020-02-01
231,Green,35-44,New York,17500,2019-03-13
232,Green,25-34,Florida,13000,2019-07-15
233,Green,25-34,Florida,13500,2023-11-02
234,Green,55-64,Texas,18000,2020-11-20
235,Gold,35-44,Oregon,15500,2019-02-27
236,Green,55-64,California,6000,2022-04-20
237,Gold,25-34,Connecticut,22000,2021-06-17
238,Platinum,35-44,Louisiana,85500,2019-11-01
239,Green,55-64,Wisconsin,11500,2019-06-08
240,Gold,18-24,Kansas,39000,2023-04-11
241,Entry,35-44,Tennessee,5500,2020-04-18
242,Entry,55-64,North Carolina,1500,2021-05-06
243,Entry,45-54,Michigan,2000,2020-07-30
244,Gold,45-54,California,28500,2021-04-09
245,Platinum,55-64,Virginia,93000,2023-03-10
246,Entry,35-44,California,4500,2019-05-01
247,Gold,55-64,Utah,35500,2021-02-07
248,Entry,45-54,South Carolina,3000,2023-09-30
249,Entry,45-54,California,2000,2019-05-04
250,Green,25-34,Virginia,13000,2022-02-18
251,Gold,65+,Massachusetts,43000,2023-02-11
252,Gold,45-54,Ohio,43500,2020-03-07
253,Green,25-34,California,10500,2020-08-22
254,Gold,35-44,California,17500,2021-09-20
255,Gold,35-44,Massachusetts,34000,2022-09-11
256,Green,45-54,Georgia,16500,2019-06-05
257,Entry,65+,California,4500,2023-08-07
258,Green,18-24,Ohio,13500,2021-09-26
259,Green,65+,Maryland,8000,2022-05-26
260,Platinum,18-24,Utah,42000,2021-03-31
261,Green,35-44,Michigan,17500,2019-07-20
262,Entry,35-44,Massachusetts,2000,2020-10-27
263,Platinum,25-34,New Jersey,65500,2023-08-28
264,Green,35-44,Texas,18000,2023-03-15
265,Green,55-64,Texas,18500,2023-06-30
266,Green,25-34,Ohio,11000,2021-06-13
267,Green,18-24,Pennsylvania,10000,2020-07-27
268,Green,45-54,Texas,14500,2022-04-24
269,Gold,45-54,Virginia,42500,2019-12-13
270,Gold,65+,Colorado,36500,2023-09-18
271,Green,25-34,New York,9500,2022-11-04
272,Green,55-64,Florida,12000,2022-10-09
273,Green,35-44,New York,5000,2023-04-26
274,Entry,25-34,New York,1500,2021-10-26
275,Green,65+,Florida,7000,2019-06-09
276,Green,25-34,Pennsylvania,14500,2022-06-17
277,Green,45-54,Ohio,10500,2019-02-10
278,Green,45-54,Ohio,14500,2023-07-02
279,Green,35-44,Arizona,14500,2022-11-06
280,Green,45-54,Florida,12500,2021-04-13
281,Green,35-44,Ohio,10000,2022-12-09
282,Gold,25-34,Ohio,36000,2019-05-01
283,Gold,45-54,California,42000,2023-05-24
284,Platinum,55-64,Arizona,93000,2021-04-01
285,Green,35-44,New York,7500,2021-09-20
286,Platinum,65+,California,47000,2023-02-26
287,Green,35-44,Massachusetts,12000,2019-08-13
288,Green,35-44,California,5500,2021-07-06
289,Gold,45-54,Pennsylvania,31000,2021-05-04
290,Green,25-34,Arizona,8500,2020-07-11
291,Platinum,55-64,Wyoming,48500,2023-02-16
292,Platinum,55-64,Ohio,71000,2021-10-01
293,Green,55-64,Florida,14000,2023-11-15
294,Gold,45-54,Ohio,33000,2021-03-01
295,Platinum,55-64,Texas,76500,2023-07-10
296,Green,45-54,Pennsylvania,6000,2019-12-21
297,Green,35-44,Indiana,16000,2020-09-23
298,Gold,65+,Texas,27500,2023-04-20
299,Green,35-44,Georgia,8500,2021-12-16
300,Platinum,35-44,Arizona,58000,2022-07-09
301,Platinum,25-34,Florida,88000,2021-10-06
302,Green,65+,Colorado,6500,2023-05-04
303,Green,25-34,Massachusetts,18500,2019-06-29
304,Green,25-34,Pennsylvania,9000,2022-12-10
305,Green,25-34,Arizona,18000,2021-05-26
306,Entry,35-44,Missouri,1500,2019-12-05
307,Green,25-34,Washington,9500,2023-10-21
308,Gold,45-54,North Carolina,27500,2019-10-26
309,Green,35-44,Arizona,11500,2020-10-15
310,Gold,45-54,Virginia,33500,2023-03-18
311,Gold,25-34,Illinois,39000,2019-08-05
312,Platinum,25-34,Missouri,87000,2020-02-16
313,Platinum,55-64,Louisiana,76000,2022-02-25
314,Entry,35-44,Arizona,7000,2021-12-28
315,Green,25-34,Utah,18000,2020-11-04
316,Green,65+,Colorado,17500,2021-01-27
317,Gold,25-34,Illinois,18000,2022-11-06
318,Gold,25-34,Ohio,26000,2023-01-02
319,Platinum,35-44,North Carolina,98500,2019-06-27
320,Gold,25-34,Oklahoma,25500,2021-09-08
321,Green,25-34,Massachusetts,17000,2023-05-29
322,Green,55-64,Ohio,7000,2022-09-11
323,Green,25-34,California,12000,2019-11-19
324,Gold,25-34,Massachusetts,40500,2023-09-26
325,Entry,55-64,North Carolina,1500,2021-04-10
326,Green,35-44,Oklahoma,10000,2023-09-22
327,Green,25-34,Florida,17000,2020-10-31
328,Green,45-54,Minnesota,18000,2019-01-09
329,Gold,18-24,New York,32500,2023-10-01
330,Gold,35-44,Texas,42500,2022-01-19
331,Gold,45-54,California,43000,2023-03-05
332,Green,65+,South Carolina,17000,2022-04-09
333,Platinum,35-44,Pennsylvania,41500,2019-10-24
334,Platinum,45-54,New York,87000,2021-10-11
335,Platinum,25-34,Illinois,66500,2023-07-09
336,Platinum,35-44,Michigan,83000,2023-10-28
337,Green,25-34,Illinois,16000,2023-05-15
338,Green,35-44,New York,11000,2022-05-06
339,Green,35-44,California,6000,2019-08-11
340,Platinum,65+,Arizona,77000,2021-11-18
341,Green,55-64,Idaho,10000,2022-10-02
342,Green,45-54,Arizona,13500,2021-12-02
343,Gold,25-34,Iowa,38000,2021-05-04
344,Gold,35-44,Nevada,21000,2019-11-12
345,Gold,45-54,Texas,40000,2023-12-06
346,Green,18-24,Nevada,12500,2019-04-05
347,Green,35-44,California,16000,2021-08-13
348,Platinum,18-24,Ohio,69000,2021-10-15
349,Gold,25-34,Georgia,24000,2022-04-23
350,Green,25-34,Colorado,14000,2021-12-02
351,Green,65+,Tennessee,17000,2020-01-11
352,Green,25-34,New York,12500,2022-02-20
353,Green,25-34,Nevada,19000,2019-02-19
354,Platinum,65+,Texas,79500,2023-01-13
355,Platinum,35-44,Arkansas,66000,2019-06-18
356,Green,45-54,Maine,12500,2023-08-15
357,Platinum,35-44,Virginia,75500,2021-06-03
358,Green,35-44,Massachusetts,18500,2019-10-09
359,Entry,18-24,West Virginia,4500,2022-08-20
360,Green,35-44,New York,13500,2020-08-24
361,Gold,35-44,Arizona,39000,2019-06-08
362,Green,35-44,Illinois,5000,2020-05-01
363,Green,35-44,Texas,8500,2021-12-30
364,Green,45-54,Texas,18500,2019-09-24
365,Entry,35-44,Michigan,7500,2022-07-08
366,Gold,45-54,New York,42000,2021-02-22
367,Entry,25-34,Washington,5500,2023-11-16
368,Entry,55-64,New York,5000,2021-08-06
369,Gold,35-44,Pennsylvania,42000,2020-12-26
370,Platinum,35-44,Colorado,56500,2021-08-17
371,Platinum,35-44,Georgia,99000,2021-10-03
372,Platinum,55-64,Indiana,50000,2019-06-29
373,Platinum,55-64,Georgia,70000,2023-09-17
374,Green,25-34,Texas,6000,2022-05-02
375,Platinum,45-54,South Carolina,92500,2019-09-17
376,Gold,25-34,Illinois,18500,2021-07-15
377,Green,18-24,Indiana,14500,2023-04-07
378,Platinum,55-64,New York,79500,2023-09-04
379,Green,25-34,Arizona,10500,2021-07-08
380,Gold,25-34,Texas,42500,2019-10-26
381,Platinum,45-54,California,69500,2020-11-21
382,Green,55-64,Wyoming,8500,2023-09-10
383,Green,25-34,California,9000,2019-06-23
384,Green,25-34,Washington,10500,2021-01-11
385,Green,18-24,California,17000,2022-02-04
386,Green,18-24,Georgia,10000,2020-01-21
387,Gold,25-34,California,19000,2020-07-07
388,Gold,65+,Minnesota,26500,2020-01-31
389,Green,25-34,New York,15500,2023-06-24
390,Green,45-54,Florida,18500,2021-03-28
391,Entry,55-64,New York,5000,2023-12-08
392,Gold,45-54,California,30000,2021-06-05
393,Gold,18-24,Ohio,18000,2023-08-20
394,Green,45-54,Pennsylvania,14000,2019-11-18
395,Gold,55-64,Georgia,29000,2022-02-22
396,Entry,35-44,Arizona,2500,2021-08-18
397,Green,35-44,California,9500,2020-02-23
398,Gold,25-34,Illinois,37000,2020-03-06
399,Green,35-44,Washington,18000,2021-03-26
400,Green,25-34,Florida,8000,2019-10-11
401,Platinum,45-54,Texas,96500,2022-12-02
402,Entry,45-54,Washington,5500,2021-03-02
403,Green,35-44,Michigan,15000,2019-11-04
404,Green,45-54,Tennessee,12000,2022-08-16
405,Gold,25-34,Florida,43500,2020-11-12
406,Green,45-54,California,12500,2021-02-04
407,Gold,45-54,Alabama,26500,2023-04-16
408,Platinum,45-54,Virginia,55000,2021-10-07
409,Entry,18-24,Iowa,3500,2023-05-21
410,Platinum,45-54,Texas,54000,2019-02-23
411,Gold,35-44,Massachusetts,31500,2023-04-01
412,Entry,35-44,Texas,3000,2019-01-27
413,Entry,35-44,Indiana,3500,2020-08-02
414,Green,18-24,Ohio,16500,2019-12-28
415,Green,35-44,Georgia,9500,2023-03-19
416,Gold,35-44,Louisiana,33500,2021-02-01
417,Gold,35-44,New York,28000,2023-06-06
418,Gold,45-54,Arizona,19500,2021-06-11
419,Green,25-34,Texas,18500,2019-10-15
420,Green,25-34,Florida,5500,2023-12-07
421,Green,35-44,Texas,19500,2022-09-28
422,Green,45-54,Texas,17500,2020-07-06
423,Platinum,35-44,Massachusetts,50000,2022-06-27
424,Green,55-64,New York,17000,2023-02-07
425,Platinum,45-54,New York,81500,2023-03-25
426,Green,18-24,Oregon,6000,2021-07-02
427,Gold,35-44,Pennsylvania,19000,2023-04-22
428,Green,35-44,Florida,8000,2021-05-29
429,Gold,35-44,Oregon,38000,2020-06-18
430,Platinum,65+,Ohio,49000,2022-06-17
431,Platinum,35-44,Oregon,57500,2019-10-09
432,Green,45-54,Florida,12000,2021-08-19
433,Green,65+,Mississippi,18500,2022-01-18
434,Platinum,25-34,Louisiana,89000,2021-07-03
435,Platinum,18-24,Wisconsin,53000,2021-09-27
436,Green,35-44,Texas,9000,2022-07-01
437,Platinum,18-24,Colorado,62000,2020-04-11
438,Green,25-34,Oregon,17000,2023-05-21
439,Green,65+,Florida,16000,2021-06-04
440,Platinum,65+,Texas,59000,2022-01-27
441,Platinum,45-54,New York,64500,2021-03-25
442,Entry,45-54,Washington,6500,2019-04-17
443,Gold,25-34,New York,29500,2023-07-23
444,Gold,45-54,Massachusetts,26500,2023-03-11
445,Green,25-34,Illinois,5500,2019-09-16
446,Entry,35-44,New York,1500,2022-07-30
447,Entry,35-44,Washington,5000,2019-11-20
448,Green,45-54,California,18000,2021-01-08
449,Gold,18-24,Arizona,19500,2023-09-24
450,Platinum,25-34,New Mexico,50000,2021-02-04
451,Green,45-54,Michigan,12000,2019-06-13
452,Green,45-54,Florida,12500,2020-03-22
453,Gold,35-44,South Carolina,29000,2020-07-09
454,Entry,25-34,Georgia,1500,2020-12-11
455,Platinum,55-64,Georgia,70500,2021-01-13
456,Green,18-24,Florida,6500,2021-07-27
457,Platinum,45-54,California,40500,2023-05-09
458,Green,25-34,New York,11500,2023-02-16
459,Platinum,45-54,Oregon,51500,2019-07-11
460,Platinum,45-54,New York,51500,2020-03-10
461,Platinum,55-64,Illinois,91500,2019-09-15
462,Green,35-44,Arizona,14000,2020-07-15
463,Green,18-24,New York,8500,2020-11-25
464,Green,55-64,Oregon,14000,2020-03-10
465,Entry,35-44,South Carolina,2000,2023-08-02
466,Gold,55-64,California,20000,2023-06-09
467,Gold,45-54,North Carolina,24500,2023-01-01
468,Green,35-44,Florida,9500,2020-11-15
469,Gold,65+,North Carolina,26000,2021-03-13
470,Entry,35-44,Georgia,4000,2022-04-09
471,Platinum,45-54,California,67500,2019-07-13
472,Entry,45-54,Massachusetts,3500,2019-05-23
473,Platinum,35-44,Texas,87500,2023-01-04
474,Green,45-54,North Carolina,13500,2022-07-24
475,Green,45-54,South Carolina,16500,2022-10-25
476,Entry,35-44,Texas,2000,2021-05-01
477,Platinum,35-44,New York,88500,2022-04-15
478,Green,45-54,California,14500,2023-04-19
479,Entry,18-24,Ohio,7000,2021-06-29
480,Green,25-34,Indiana,12000,2023-09-06
481,Green,25-34,Georgia,5000,2021-10-20
482,Green,35-44,Florida,9000,2022-06-25
483,Green,55-64,Kentucky,13500,2023-03-30
484,Green,45-54,Georgia,15500,2021-12-27
485,Green,65+,New Mexico,5500,2021-07-16
486,Entry,18-24,Tennessee,6500,2022-06-02
487,Platinum,45-54,Kentucky,61500,2019-11-13
488,Gold,35-44,Massachusetts,39000,2021-11-03
489,Entry,18-24,New Hampshire,1500,2023-03-30
490,Green,55-64,Georgia,9500,2019-11-06
491,Green,25-34,Arizona,9500,2021-11-12
492,Green,25-34,Texas,8000,2023-08-11
493,Gold,35-44,Connecticut,21500,2019-06-23
494,Gold,45-54,Florida,33500,2020-11-16
495,Green,45-54,Massachusetts,8000,2022-02-19
496,Gold,25-34,Florida,19500,2023-03-01
497,Green,25-34,Utah,13000,2023-11-27
498,Platinum,25-34,California,97500,2020-06-01
499,Entry,25-34,South Carolina,5000,2021-05-14
500,Entry,55-64,Arizona,5000,2021-02-05
501,Green,55-64,Kansas,18000,2020-01-01
502,Green,65+,Ohio,5500,2020-08-03
503,Gold,55-64,Ohio,26000,2020-04-26
504,Green,55-64,Florida,17500,2019-06-01
505,Green,55-64,Florida,8500,2022-09-21
506,Platinum,65+,California,54000,2019-02-07
507,Entry,55-64,Florida,1500,2023-05-13
508,Green,35-44,Washington,17500,2021-07-11
509,Entry,35-44,California,3500,2022-06-16
510,Green,45-54,Texas,8000,2019-11-05
511,Green,45-54,Maryland,7000,2021-04-22
512,Gold,35-44,California,16500,2021-03-08
513,Entry,45-54,New York,6500,2020-09-16
514,Green,45-54,California,13000,2019-12-25
515,Platinum,25-34,Michigan,46000,2022-02-17
516,Platinum,25-34,Maryland,45500,2022-11-20
517,Gold,55-64,Nevada,21500,2019-11-08
518,Green,45-54,South Carolina,12500,2019-12-28
519,Entry,35-44,Illinois,4500,2022-12-22
520,Platinum,55-64,North Carolina,86000,2019-02-13
521,Green,25-34,Virginia,19000,2022-07-11
522,Gold,35-44,Alabama,36000,2020-02-20
523,Entry,25-34,Minnesota,4500,2023-11-01
524,Green,55-64,Ohio,11000,2023-08-02
525,Green,45-54,Ohio,19000,2023-06-14
526,Green,35-44,Florida,13500,2020-11-27
527,Gold,65+,California,37000,2022-06-05
528,Gold,55-64,Texas,28500,2022-05-19
529,Platinum,45-54,Florida,58500,2021-08-17
530,Green,55-64,Washington,5000,2020-05-14
531,Green,45-54,Michigan,18000,2019-07-22
532,Entry,45-54,Utah,2500,2019-08-27
533,Entry,35-44,North Carolina,5000,2022-04-01
534,Green,25-34,Illinois,8500,2019-07-13
535,Green,18-24,Virginia,16000,2022-06-30
536,Entry,55-64,Illinois,5500,2019-07-04
537,Green,25-34,California,7500,2019-08-14
538,Gold,35-44,California,29000,2022-08-02
539,Gold,25-34,Michigan,32500,2019-12-18
540,Platinum,35-44,South Carolina,42000,2022-07-08
541,Entry,35-44,Virginia,1500,2023-11-24
542,Green,55-64,California,6000,2019-02-23
543,Gold,65+,Texas,15500,2019-12-12
544,Green,65+,Iowa,17000,2021-01-18
545,Green,45-54,Michigan,13000,2021-02-03
546,Gold,65+,Colorado,38500,2022-12-20
547,Platinum,35-44,Oregon,54000,2021-03-26
548,Green,35-44,Kentucky,9000,2023-06-29
549,Green,25-34,Pennsylvania,18500,2019-11-17
550,Green,55-64,Illinois,5000,2019-05-13
551,Green,25-34,California,5500,2019-04-04
552,Green,45-54,Connecticut,10500,2021-08-30
553,Green,45-54,Texas,16500,2019-05-30
554,Green,45-54,Pennsylvania,14500,2019-07-18
555,Green,18-24,Washington,11500,2021-09-18
556,Gold,45-54,Delaware,37000,2022-03-21
557,Platinum,45-54,Illinois,69000,2022-09-22
558,Platinum,25-34,Massachusetts,96500,2023-09-03
559,Green,45-54,Kansas,7500,2019-05-29
560,Green,55-64,North Carolina,5500,2020-12-20
561,Green,65+,Georgia,11000,2019-08-18
562,Gold,35-44,North Carolina,24500,2021-05-02
563,Platinum,18-24,Oregon,40500,2020-11-27
564,Platinum,35-44,California,63000,2019-11-22
565,Gold,45-54,Tennessee,38500,2020-11-07
566,Green,55-64,Texas,16000,2022-05-05
567,Gold,65+,New Jersey,38500,2022-11-04
568,Gold,55-64,Minnesota,26000,2021-08-05
569,Entry,45-54,Arizona,7500,2020-05-16
570,Gold,45-54,Pennsylvania,34500,2023-08-02
571,Green,18-24,Colorado,19000,2021-10-14
572,Green,35-44,California,7000,2023-09-18
573,Gold,55-64,Massachusetts,40000,2021-04-10
