route_id,month,scheduled_flights,operated_flights,cancelled_flights,on_time_flights,delayed_15_45_min,delayed_45_90_min,delayed_90plus_min,otp_pct,cancellation_pct,avg_load_factor,passengers,avg_total_fare_inr,revenue_inr,atf_price_per_liter,fuel_consumed_liters,fuel_cost_inr,total_op_cost_inr,operating_profit_inr,profit_margin_pct,available_seat_km,revenue_pax_km
DEL-HYD,2024-11-01,420,411,9,305,59,34,13,74.21,2.14,0.9157,67741,6599.0,446997020,93.62,1851316,173314285,456090224,-9093204,-2.03,92475000,84676250
DEL-HYD,2024-12-01,434,422,12,290,85,39,8,68.72,2.76,0.9202,69897,7351.0,513836615,96.87,1837712,178026347,468490387,45346228,8.83,94950000,87371250
DEL-CCU,2024-01-01,310,301,9,220,51,25,5,73.09,2.9,0.9099,49296,7813.0,385164342,93.78,1494378,140146051,368805397,16358945,4.25,70434000,64084800
DEL-CCU,2024-02-01,290,283,7,209,43,19,12,73.85,2.41,0.895,45589,7722.0,352054189,92.75,1367324,126817962,333731479,18322710,5.2,66222000,59265700
DEL-CCU,2024-03-01,310,304,6,220,47,27,10,72.37,1.94,0.8743,47844,7033.0,336504820,91.99,1548738,142461656,374899095,-38394275,-11.41,71136000,62197200
DEL-CCU,2024-04-01,300,295,5,200,60,31,4,67.8,1.67,0.8614,45739,7283.0,333115936,92.23,1465367,135149688,355657074,-22541138,-6.77,69030000,59460700
DEL-CCU,2024-05-01,310,301,9,204,54,28,15,67.77,2.9,0.8998,48750,7595.0,370279214,89.87,1455873,130837957,344310413,25968801,7.01,70434000,63375000
DEL-CCU,2024-06-01,300,288,12,172,72,34,10,59.72,4.0,0.8487,43996,6634.0,291881982,89.82,1457128,130881232,344424295,-52542313,-18.0,67392000,57194800
DEL-CCU,2024-07-01,310,295,15,171,69,36,19,57.97,4.84,0.8403,44620,6668.0,297540549,88.2,1477401,130304402,342906321,-45365772,-15.25,69030000,58006000
DEL-CCU,2024-08-01,310,295,15,174,74,39,8,58.98,4.84,0.8563,45468,6556.0,298093735,87.55,1432925,125457400,330151053,-32057318,-10.75,69030000,59108400
DEL-CCU,2024-09-01,300,292,8,190,62,26,14,65.07,2.67,0.8641,45417,6869.0,311956493,91.9,1472614,135334606,356143700,-44187207,-14.16,68328000,59042100
DEL-CCU,2024-10-01,310,305,5,228,49,24,4,74.75,1.61,0.8742,47991,7760.0,372392744,94.27,1542910,145442669,382743866,-10351122,-2.78,71370000,62388300
DEL-CCU,2024-11-01,300,294,6,213,53,21,7,72.45,2.0,0.8794,46540,8015.0,373037046,94.68,1485173,140620781,370054687,2982359,0.8,68796000,60502000
DEL-CCU,2024-12-01,310,302,8,214,52,24,12,70.86,2.58,0.9301,50558,8811.0,445446381,95.24,1534793,146169978,384657837,60788544,13.65,70668000,65725400
BOM-BLR,2024-01-01,434,424,10,309,68,30,17,72.88,2.3,0.9114,69561,7185.0,499766028,94.91,1413615,134168392,353074716,146691312,29.35,64108800,58431240
BOM-BLR,2024-02-01,406,399,7,303,54,29,13,75.94,1.72,0.9086,65257,6947.0,453352668,93.29,1344523,125433965,330089382,123263286,27.19,60328800,54815880
BOM-BLR,2024-03-01,434,423,11,320,66,29,8,75.65,2.53,0.8877,67593,6704.0,453122438,92.89,1371860,127438805,335365276,117757162,25.99,63957600,56778120
BOM-BLR,2024-04-01,420,409,11,276,78,38,17,67.48,2.62,0.8668,63811,6467.0,412680399,92.97,1372671,127622760,335849368,76831031,18.62,61840800,53601240
BOM-BLR,2024-05-01,434,421,13,278,91,47,5,66.03,3.0,0.8796,66653,7117.0,474346629,90.06,1429315,128717765,338730961,135615668,28.59,63655200,55988520
BOM-BLR,2024-06-01,420,406,14,247,98,43,18,60.84,3.33,0.8544,62439,5964.0,372401711,88.75,1327394,117803690,310009711,62392000,16.75,61387200,52448760
BOM-BLR,2024-07-01,434,413,21,245,104,44,20,59.32,4.84,0.8336,61973,5829.0,361264071,87.17,1329267,115866491,304911818,56352253,15.6,62445600,52057320
BOM-BLR,2024-08-01,434,416,18,243,99,48,26,58.41,4.15,0.8536,63916,5829.0,372563383,88.23,1397462,123295572,324462032,48101351,12.91,62899200,53689440
BOM-BLR,2024-09-01,420,407,13,270,87,44,6,66.34,3.1,0.8587,62905,6479.0,407556044,90.22,1363106,122983818,323641626,83914418,20.59,61538400,52840200
BOM-BLR,2024-10-01,434,426,8,312,67,33,14,73.24,1.84,0.8718,66851,6780.0,453224302,93.89,1426674,133955414,352514247,100710055,22.22,64411200,56154840
BOM-BLR,2024-11-01,420,412,8,303,66,32,11,73.54,1.9,0.8985,66630,7022.0,467894257,92.84,1338592,124268948,327023547,140870710,30.11,62294400,55969200
BOM-BLR,2024-12-01,434,424,10,284,77,39,24,66.98,2.3,0.9222,70385,7582.0,533667741,94.33,1431986,135086058,355489626,178178115,33.39,64108800,59123400
BOM-MAA,2024-01-01,372,361,11,279,52,24,6,77.29,2.96,0.8809,57243,6308.0,361061243,93.81,1410317,132303209,348166339,12894904,3.57,66279600,58387860
BOM-MAA,2024-02-01,348,341,7,265,44,21,11,77.71,2.01,0.8711,53469,5848.0,312681015,94.73,1351173,127993285,336824434,-24143419,-7.72,62607600,54538380
BOM-MAA,2024-03-01,372,366,6,285,45,21,15,77.87,1.61,0.8422,55484,5485.0,304325861,91.41,1390931,127145420,334593211,-30267350,-9.95,67197600,56593680
BOM-MAA,2024-04-01,360,352,8,256,57,32,7,72.73,2.22,0.8371,53041,5717.0,303232351,91.67,1384920,126961086,334108121,-30875770,-10.18,64627200,54101820
BOM-MAA,2024-05-01,372,363,9,265,56,30,12,73.0,2.42,0.8712,56924,6125.0,348653221,90.7,1379101,125085991,329173661,19479560,5.59,66646800,58062480
BOM-MAA,2024-06-01,360,346,14,228,69,34,15,65.9,3.89,0.8005,49853,5059.0,252214097,89.54,1340941,120065803,315962639,-63748542,-25.28,63525600,50850060
BOM-MAA,2024-07-01,372,353,19,210,81,41,21,59.49,5.11,0.8022,50970,5037.0,256750277,87.84,1329239,116757588,307256811,-50506534,-19.67,64810800,51989400
BOM-MAA,2024-08-01,372,355,17,224,75,40,16,63.1,4.57,0.8064,51526,5150.0,265372405,89.35,1359521,121477626,319677963,-54305558,-20.46,65178000,52556520
BOM-MAA,2024-09-01,360,347,13,242,66,34,5,69.74,3.61,0.8345,52120,5583.0,290993917,89.92,1310399,117826900,310070789,-19076872,-6.56,63709200,53162400
BOM-MAA,2024-10-01,372,364,8,283,49,26,6,77.75,2.15,0.8641,56613,5662.0,320517618,92.47,1373119,126972998,334139468,-13621850,-4.25,66830400,57745260
BOM-MAA,2024-11-01,360,353,7,270,51,24,8,76.49,1.94,0.8805,55944,5923.0,331333787,93.34,1384866,129262258,340163837,-8830050,-2.67,64810800,57062880
BOM-MAA,2024-12-01,372,365,7,261,62,29,13,71.51,1.88,0.9002,59145,6527.0,386045844,96.54,1438940,138916922,365570847,20474997,5.3,67014000,60327900
BOM-HYD,2024-01-01,310,301,9,219,53,25,4,72.76,2.9,0.8623,46717,5454.0,254791349,95.42,842353,80373114,211508195,43283154,16.99,38467800,33169070
BOM-HYD,2024-02-01,290,283,7,230,34,17,2,81.27,2.41,0.8545,43528,5197.0,226227156,92.52,789641,73057684,192257063,33970093,15.02,36167400,30904880
BOM-HYD,2024-03-01,310,304,6,232,45,23,4,76.32,1.94,0.8625,47193,4887.0,230626628,91.39,853378,77991911,205241871,25384757,11.01,38851200,33507030
BOM-HYD,2024-04-01,300,294,6,213,51,21,9,72.45,2.0,0.8491,44934,5027.0,225881351,91.66,815347,74736555,196675145,29206206,12.93,37573200,31903140
BOM-HYD,2024-05-01,310,302,8,226,44,21,11,74.83,2.58,0.8487,46133,5443.0,251120563,91.3,852788,77856846,204886437,46234126,18.41,38595600,32754430
BOM-HYD,2024-06-01,300,288,12,182,64,32,10,63.19,4.0,0.8213,42577,4754.0,202395137,90.08,812077,73152394,192506300,9888837,4.89,36806400,30229670
BOM-HYD,2024-07-01,310,296,14,186,67,33,10,62.84,4.52,0.8291,44175,4735.0,209169203,87.39,834785,72952719,191980839,17188364,8.22,37828800,31364250
BOM-HYD,2024-08-01,310,298,12,190,70,34,4,63.76,3.87,0.8007,42948,4662.0,200214721,89.08,814534,72554904,190933958,9280763,4.64,38084400,30493080
BOM-HYD,2024-09-01,300,290,10,201,56,22,11,69.31,3.33,0.8179,42692,4850.0,207076163,89.08,817590,72827741,191651950,15424213,7.45,37062000,30311320
BOM-HYD,2024-10-01,310,305,5,232,46,21,6,76.07,1.61,0.8569,47043,5051.0,237595212,91.6,822464,75335634,198251668,39343544,16.56,38979000,33400530
BOM-HYD,2024-11-01,300,297,3,228,44,19,6,76.77,1.0,0.8922,47696,5147.0,245508994,94.5,824764,77941231,205108503,40400491,16.46,37956600,33864160
BOM-HYD,2024-12-01,310,302,8,215,49,29,9,71.19,2.58,0.9309,50603,5773.0,292125522,95.25,842956,80289346,211287753,80837769,27.67,38595600,35928130
DEL-AMD,2024-01-01,248,242,6,183,34,16,9,75.62,2.42,0.8796,38316,5211.0,199660496,94.07,777790,73163019,192534261,7126235,3.57,38768400,34101240
DEL-AMD,2024-02-01,232,227,5,182,27,13,5,80.18,2.16,0.875,35751,4761.0,170209242,91.54,734804,67264904,177012905,-6803663,-4.0,36365400,31818390
DEL-AMD,2024-03-01,248,244,4,185,36,17,6,75.82,1.61,0.8612,37825,4480.0,169450429,92.82,791768,73489724,193394011,-23943582,-14.13,39088800,33664250
DEL-AMD,2024-04-01,240,234,6,169,36,17,12,72.22,2.5,0.8337,35116,4616.0,162085686,92.79,760069,70527942,185599847,-23514161,-14.51,37486800,31253240
DEL-AMD,2024-05-01,248,242,6,173,43,22,4,71.49,2.42,0.8657,37709,5108.0,192608972,91.03,784464,71407768,187915179,4693793,2.44,38768400,33561010
DEL-AMD,2024-06-01,240,230,10,148,45,21,16,64.35,4.17,0.8239,34110,4293.0,146428920,88.5,776882,68753365,180929908,-34500988,-23.56,36846000,30357900
DEL-AMD,2024-07-01,248,236,12,150,50,24,12,63.56,4.84,0.7913,33615,4266.0,143399990,88.28,774567,68382499,179953945,-36553955,-25.49,37807200,29917350
DEL-AMD,2024-08-01,248,239,9,159,46,26,8,66.53,3.63,0.7935,34135,4398.0,150123259,88.52,788105,69762510,183585553,-33462294,-22.29,38287800,30380150
DEL-AMD,2024-09-01,240,232,8,163,41,17,11,70.26,3.33,0.8337,34815,4512.0,157073712,89.03,754478,67172584,176769958,-19696246,-12.54,37166400,30985350
DEL-AMD,2024-10-01,248,243,5,189,35,16,3,77.78,2.02,0.8535,37333,4615.0,172294110,92.18,821834,75754485,199353908,-27059798,-15.71,38928600,33226370
DEL-AMD,2024-11-01,240,236,4,178,33,17,8,75.42,1.67,0.8823,37482,4828.0,180958738,93.98,755950,71042728,186954547,-5995809,-3.31,37807200,33358980
DEL-AMD,2024-12-01,248,241,7,179,38,19,5,74.27,2.82,0.8779,38084,5528.0,210541836,94.18,773682,72862538,191743521,18798315,8.93,38608200,33894760
DEL-PNQ,2024-01-01,248,241,7,181,33,18,9,75.1,2.82,0.8727,37856,6901.0,261256764,93.37,1182619,110426660,290596474,-29339710,-11.23,60732000,52998400
DEL-PNQ,2024-02-01,232,228,4,181,29,14,4,79.39,1.72,0.8659,35537,6753.0,239994021,93.35,1109297,103550511,272501345,-32507324,-13.55,57456000,49751800
DEL-PNQ,2024-03-01,248,243,5,188,33,16,6,77.37,2.02,0.8638,37782,6107.0,230718358,91.24,1172187,106947363,281440429,-50722071,-21.98,61236000,52894800
DEL-PNQ,2024-04-01,240,235,5,180,34,16,5,76.6,2.08,0.8485,35891,6323.0,226935615,91.95,1176839,108210377,284764150,-57828535,-25.48,59220000,50247400
DEL-PNQ,2024-05-01,248,241,7,168,43,19,11,69.71,2.82,0.8691,37702,6653.0,250834519,90.6,1195949,108348839,285128524,-34294005,-13.67,60732000,52782800
DEL-PNQ,2024-06-01,240,230,10,152,49,24,5,66.09,4.17,0.83,34362,5733.0,196992007,89.87,1137778,102249087,269076545,-72084538,-36.59,57960000,48106800
DEL-PNQ,2024-07-01,248,236,12,147,51,26,12,62.29,4.84,0.797,33858,5914.0,200243109,88.64,1201217,106478905,280207645,-79964536,-39.93,59472000,47401200
DEL-PNQ,2024-08-01,248,238,10,155,53,26,4,65.13,4.03,0.8113,34754,5571.0,193605051,87.79,1184905,104019450,273735395,-80130344,-41.39,59976000,48655600
DEL-PNQ,2024-09-01,240,232,8,161,40,22,9,69.4,3.33,0.8451,35290,5835.0,205910315,89.68,1135673,101852054,268031721,-62121406,-30.17,58464000,49406000
DEL-PNQ,2024-10-01,248,242,6,189,31,16,6,78.1,2.42,0.8632,37601,6361.0,239185185,93.51,1163717,108821160,286371474,-47186289,-19.73,60984000,52641400
DEL-PNQ,2024-11-01,240,236,4,185,33,16,2,78.39,1.67,0.8638,36694,6684.0,245270819,94.73,1177137,111507219,293440050,-48169231,-19.64,59472000,51371600
DEL-PNQ,2024-12-01,248,242,6,182,36,19,5,75.21,2.42,0.895,38984,7388.0,288016289,94.97,1182608,112317689,295572866,-7556577,-2.62,60984000,54577600
DEL-GOI,2024-01-01,186,182,4,136,25,12,9,74.73,2.15,0.8796,28815,10165.0,292906069,94.69,1214148,114964483,302538113,-9632044,-3.29,62244000,54748500
DEL-GOI,2024-02-01,174,170,4,132,24,11,3,77.65,2.3,0.8465,25904,10071.0,260872810,93.51,1103936,103224560,271643579,-10770769,-4.13,58140000,49217600
DEL-GOI,2024-03-01,186,182,4,141,25,12,4,77.47,2.15,0.8423,27595,9009.0,248601766,91.38,1178601,107694905,283407645,-34805879,-14.0,62244000,52430500
DEL-GOI,2024-04-01,180,176,4,133,24,14,5,75.57,2.22,0.857,27151,9167.0,248880371,91.94,1137478,104583598,275219995,-26339624,-10.58,60192000,51586900
DEL-GOI,2024-05-01,186,181,5,132,28,14,7,72.93,2.69,0.8886,28950,9649.0,279338738,91.54,1221655,111826270,294279658,-14940920,-5.35,61902000,55005000
DEL-GOI,2024-06-01,180,173,7,111,40,20,2,64.16,3.89,0.8234,25642,8656.0,221961909,89.77,1145284,102809356,270550937,-48589028,-21.89,59166000,48719800
DEL-GOI,2024-07-01,186,177,9,108,41,19,9,61.02,4.84,0.8096,25794,8080.0,208410457,89.24,1148587,102494903,269723429,-61312972,-29.42,60534000,49008600
DEL-GOI,2024-08-01,186,178,8,115,40,18,5,64.61,4.3,0.8303,26604,8675.0,230779436,87.78,1164072,102176775,268886250,-38106814,-16.51,60876000,50547600
DEL-GOI,2024-09-01,180,174,6,127,27,15,5,72.99,3.33,0.8371,26218,9083.0,238132619,91.29,1173708,107144239,281958524,-43825905,-18.4,59508000,49814200
DEL-GOI,2024-10-01,186,182,4,143,24,12,3,78.57,2.15,0.8766,28717,9241.0,265360584,93.32,1228650,114656350,301727237,-36366653,-13.7,62244000,54562300
DEL-GOI,2024-11-01,180,177,3,137,23,12,5,77.4,1.67,0.8744,27859,10045.0,279843506,93.29,1168723,109024710,286907132,-7063626,-2.52,60534000,52932100
DEL-GOI,2024-12-01,186,181,5,132,30,13,6,72.93,2.69,0.9077,29574,11170.0,330329303,96.93,1166430,113062764,297533589,32795714,9.93,61902000,56190600
DEL-COK,2024-01-01,186,181,5,142,25,11,3,78.45,2.69,0.8873,28908,13594.0,392962023,94.65,1634585,154712305,407137645,-14175622,-3.61,86337000,76606200
DEL-COK,2024-02-01,174,170,4,133,21,11,5,78.24,2.3,0.8616,26365,13097.0,345289559,92.64,1506853,139594716,367354516,-22064957,-6.39,81090000,69867250
DEL-COK,2024-03-01,186,183,3,142,26,10,5,77.6,1.61,0.8688,28618,12795.0,366164688,91.75,1605173,147270449,387553813,-21389125,-5.84,87291000,75837700
DEL-COK,2024-04-01,180,177,3,125,29,16,7,70.62,1.67,0.8277,26372,11937.0,314812914,92.97,1574469,146373164,385192537,-70379623,-22.36,84429000,69885800
DEL-COK,2024-05-01,186,182,4,133,32,13,4,73.08,2.15,0.8778,28757,13562.0,390012276,90.02,1614912,145375443,382566955,7445321,1.91,86814000,76206050
DEL-COK,2024-06-01,180,174,6,111,41,18,4,63.79,3.33,0.8171,25592,11431.0,292554078,89.78,1488124,133606220,351595316,-59041238,-20.18,82998000,67818800
DEL-COK,2024-07-01,186,178,8,114,41,18,5,64.04,4.3,0.8141,26084,11688.0,304868427,88.17,1598804,140959198,370945258,-66076831,-21.67,84906000,69122600
DEL-COK,2024-08-01,186,178,8,117,34,15,12,65.73,4.3,0.8024,25708,11844.0,304497761,88.77,1564663,138890758,365501995,-61004234,-20.03,84906000,68126200
DEL-COK,2024-09-01,180,174,6,127,27,14,6,72.99,3.33,0.8315,26044,11867.0,309052960,89.86,1558537,140042589,368533129,-59480169,-19.25,82998000,69016600
DEL-COK,2024-10-01,186,183,3,138,25,12,8,75.41,1.61,0.8546,28150,13104.0,368878202,90.86,1590270,144493358,380245679,-11367477,-3.08,87291000,74597500
DEL-COK,2024-11-01,180,176,4,137,24,10,5,77.84,2.22,0.8584,27194,13114.0,356613376,93.56,1594025,149139898,392473416,-35860040,-10.06,83952000,72064100
DEL-COK,2024-12-01,186,181,5,129,32,16,4,71.27,2.69,0.8973,29236,14742.0,431010202,95.22,1594493,151830029,399552708,31457494,7.3,86337000,77475400
DEL-JAI,2024-01-01,310,302,8,226,42,19,15,74.83,2.58,0.848,46096,3909.0,180189628,94.28,671953,63348450,166706447,13483181,7.48,14133600,11984960
DEL-JAI,2024-02-01,290,284,6,224,34,16,10,78.87,2.07,0.8568,43799,3534.0,154803131,93.94,641153,60229725,158499276,-3696145,-2.39,13291200,11387740
DEL-JAI,2024-03-01,310,304,6,231,45,23,5,75.99,1.94,0.8407,46005,3447.0,158586081,92.31,681433,62901811,165531082,-6945001,-4.38,14227200,11961300
DEL-JAI,2024-04-01,300,292,8,217,45,23,7,74.32,2.67,0.8408,44194,3306.0,146084768,92.56,625454,57890977,152344676,-6259908,-4.29,13665600,11490440
DEL-JAI,2024-05-01,310,303,7,216,55,23,9,71.29,2.26,0.8563,46701,3828.0,178771112,89.64,666528,59748263,157232271,21538841,12.05,14180400,12142260
DEL-JAI,2024-06-01,300,286,14,188,56,32,10,65.73,4.67,0.8005,41207,3162.0,130301537,89.6,636004,56983430,149956395,-19654858,-15.08,13384800,10713820
DEL-JAI,2024-07-01,310,295,15,176,76,37,6,59.66,4.84,0.7842,41641,3129.0,130292764,89.06,643978,57352159,150926734,-20633970,-15.84,13806000,10826660
DEL-JAI,2024-08-01,310,297,13,195,61,31,10,65.66,4.19,0.7929,42391,3307.0,140174655,88.17,650331,57339160,150892526,-10717871,-7.65,13899600,11021660
DEL-JAI,2024-09-01,300,290,10,196,60,25,9,67.59,3.33,0.8277,43207,3410.0,147354751,91.5,623896,57089025,150234276,-2879525,-1.95,13572000,11233820
DEL-JAI,2024-10-01,310,303,7,238,37,17,11,78.55,2.26,0.8397,45797,3527.0,161535295,93.74,681429,63875916,168094516,-6559221,-4.06,14180400,11907220
DEL-JAI,2024-11-01,300,294,6,214,47,24,9,72.79,2.0,0.8457,44752,3847.0,172171974,92.7,637414,59090996,155502621,16669353,9.68,13759200,11635520
DEL-JAI,2024-12-01,310,303,7,226,48,20,9,74.59,2.26,0.8794,47964,4053.0,194377943,95.58,649542,62084285,163379697,30998246,15.95,14180400,12470640
